name,type,how_found,official_or_list_url,other_doors,bucket,ingest_rec,clear_state,retry_paths,review_after,why
ZACH Theatre,venue,catalog,https://www.zachtheatre.org/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 52, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
The Long Center for the Performing Arts,venue,catalog,https://thelongcenter.org/calendar/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 53, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Austin Film Society (AFS Cinema),venue,catalog,https://www.austinfilm.org/calendar/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 54, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
BookPeople Events,venue,catalog,https://bookpeople.com/upcoming-events,,A,official,in_catalog,n/a - already committed,n/a,"catalog rank 55, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Cap City Comedy Club,venue,catalog,https://www.capcitycomedy.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 56, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
The Hideout Theatre,venue,catalog,https://hideouttheatre.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 57, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
The Velveeta Room,venue,catalog,https://www.thevelveetaroom.com/shows,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 58, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Historic Scoot Inn,venue,catalog,https://www.scootinnaustin.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 70, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Cheer Up Charlies,venue,catalog,https://cheerupcharlies.com/,,A,official,in_catalog,n/a - already committed,n/a,"catalog rank 71, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
The Far Out Lounge & Stage,venue,catalog,https://www.thefaroutaustin.com/events.html,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 72, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Come and Take It Live,venue,catalog,https://www.comeandtakeitlive.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 73, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Elephant Room,venue,catalog,https://elephantroom.com/calendar,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 74, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
C-Boy's Heart & Soul,venue,catalog,https://www.cboys.com/calendar,,A,official,in_catalog,n/a - already committed,n/a,"catalog rank 75, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
3TEN ACL Live (Austin City Limits Live),venue,catalog,https://www.acllive.com/events/venue/acl-live-at-3ten,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 76, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Austin Symphony Orchestra,group,catalog,https://my.austinsymphony.org/events?view=list,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 78, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Ballet Austin,group,catalog,https://my.balletaustin.org/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 79, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Austin Opera,group,catalog,https://my.austinopera.org/events?view=list,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 80, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Fusebox Festival,group,catalog,https://fuseboxlive.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 81, category 'festival_feed'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Austin Chamber Music Center / Festival,group,catalog,https://austinchambermusic.org/concert-season/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 82, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Golden Hornet,group,catalog,https://www.goldenhornet.org/calendar,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 83, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Round Rock Express (MiLB),group,catalog,https://www.milb.com/round-rock/schedule,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 84, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Austin FC (MLS),group,catalog,https://www.austinfc.com/schedule/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 85, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Circuit of the Americas (COTA),venue,catalog,https://circuitoftheamericas.com/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 86, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Austin Spurs (NBA G League),group,catalog,https://austin.gleague.nba.com/schedule,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 87, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Austin Food & Wine Festival,group,catalog,https://www.austinfoodandwinefestival.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 88, category 'festival_feed'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
SFC Farmers' Market (Sustainable Food Center),market,catalog,https://sustainablefoodcenter.org/farmers-markets-support/sfc-farmers-markets/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 89, category 'city_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Texas Craft Brewers Festival,group,catalog,https://texascraftbrewersfestival.org/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 90, category 'festival_feed'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Elysium,venue,catalog,https://www.elysiumonline.net/events.html,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 91, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Kingdom Nightclub,venue,catalog,https://kingdomnightclub.com/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 92, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
The Concourse Project,venue,catalog,https://concourseproject.com/calendar/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 93, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Tapestry Dance Company,group,catalog,https://tapestry.org/season-shows,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 94, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Bullock Texas State History Museum,venue,catalog,https://www.thestoryoftexas.com/calendar/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 95, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
LBJ Presidential Library,venue,catalog,https://www.lbjlibrary.org/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 96, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Austin History Center Association,group,catalog,https://austinhistory.org/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 97, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
"George Washington Carver Museum, Cultural & Genealogy Center",venue,catalog,https://www.austintexas.gov/carver/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 98, category 'city_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Asian American Resource Center (AARC),venue,catalog,https://www.austintexas.gov/aarc/asian-american-resource-center-event-calendar,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 99, category 'city_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Thinkery (Austin Children's Museum),venue,catalog,https://my.thinkeryaustin.org/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 100, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Austin Nature & Science Center,venue,catalog,https://www.austintexas.gov/parks/austin-nature-science-center-camps-events-and-community-programs,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 101, category 'city_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
UMLAUF Sculpture Garden & Museum,venue,catalog,https://www.umlaufsculpture.org/programs,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 102, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Elisabet Ney Museum,venue,catalog,https://www.austintexas.gov/ney/programs-education,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 103, category 'city_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Republic Square (Downtown Austin Alliance),venue,catalog,https://downtownaustin.com/republic-square-events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 104, category 'city_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Waterloo Greenway Conservancy (Waterloo Park),venue,catalog,https://waterloogreenway.org/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 105, category 'city_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Mueller Austin (Parks & Events),venue,catalog,https://muelleraustin.com/events-at-mueller/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 106, category 'city_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Rodeo Austin (Star of Texas Fair & Rodeo),group,catalog,https://rodeoaustin.com/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 107, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Maker Faire Austin,group,catalog,https://austin.makerfaire.com/schedule/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 108, category 'festival_feed'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Texas Book Festival,group,catalog,https://texasbookfestival.org/schedule/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 109, category 'festival_feed'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Austin Trail of Lights,group,catalog,https://austintrailoflights.org/the-event,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 110, category 'festival_feed'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Eeyore's Birthday Party,group,catalog,https://eeyores.org/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 111, category 'festival_feed'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Austin Yoga Festival,group,catalog,http://www.austinyogafestival.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 112, category 'festival_feed'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
HAAM (Health Alliance for Austin Musicians),group,catalog,https://www.myhaam.org/calendar-of-events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 113, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Austin Fashion Week,group,catalog,https://austinfashionweek.sched.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 114, category 'festival_feed'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Meanwhile Brewing Co.,venue,catalog,https://www.meanwhilebeer.com/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 121, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Central Machine Works Brewery,venue,catalog,https://www.cmwbrewery.com/live-music,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 122, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Austin Beerworks,venue,catalog,https://austinbeerworks.com/calendar,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 123, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Jester King Brewery,venue,catalog,https://jesterkingbrewery.com/events-calendar,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 124, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Still Austin Whiskey Co.,venue,catalog,https://www.stillaustin.com/tasting-room-events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 125, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Oasis Texas Brewing Company,venue,catalog,https://www.otxbc.com/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 126, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Whitestone Brewery,venue,catalog,https://whitestonebrewery.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 127, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Rentsch Brewery,venue,catalog,https://rentschbrewery.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 128, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Barking Armadillo Brewing,venue,catalog,https://barkingarmadillo.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 129, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Vista Brewing,venue,catalog,https://www.vistabrewingtx.com/calendars,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 130, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Fitzhugh Brewing,venue,catalog,https://www.fitzhughbrewing.com/upcoming-events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 131, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Treaty Oak Distilling,venue,catalog,https://www.treatyoakdistilling.com/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 132, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Dripping Springs Distilling,venue,catalog,https://drippingspringsdistilling.com/events/list/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 133, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Bell Springs Winery,venue,catalog,https://www.bellsprings.co/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 134, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Yegua Creek Brewery & Restaurant,venue,catalog,https://www.yeguacreekbrewery.com/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 135, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Rising Sun Vineyard,venue,catalog,https://www.risingsunvineyard.com/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 136, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Garrison Brothers Distillery,venue,catalog,https://www.garrisonbros.com/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 137, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Carter Creek Winery Resort & Spa,venue,catalog,https://www.cartercreek.com/calendar-of-events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 138, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Iron Wolf Ranch & Distillery,venue,catalog,https://ironwolfranch.com/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 139, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Fall Creek Vineyards (Tow),venue,catalog,https://fcv.com/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 140, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Wedding Oak Winery,venue,catalog,http://www.weddingoakwinery.com/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 141, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Round Top Brewing Co.,venue,catalog,http://www.roundtopbrewing.com/new-events-1,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 142, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Becker Vineyards,venue,catalog,https://beckervineyards.com/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 143, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Pedernales Cellars,venue,catalog,https://www.pedernalescellars.com/events-calendar/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 144, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Signor Vineyards,venue,catalog,https://www.signorvineyards.com/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 145, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Augusta Vin Winery,venue,catalog,https://augustavin.com/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 146, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Longhorn Cellars,venue,catalog,https://longhorncellars.com/calendar/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 147, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Ab Astris Winery,venue,catalog,https://www.abastriswinery.com/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 148, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Meierstone Vineyards,venue,catalog,https://www.meierstonevineyards.com/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 149, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Barons Creek Vineyards,venue,catalog,https://baronscreekvineyards.com/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 150, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
4.0 Cellars,venue,catalog,https://www.fourpointwine.com,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 151, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Fiesta Winery,venue,catalog,https://www.fiestawinery.com,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 152, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Fredericksburg Winery,venue,catalog,https://fbgwinery.com,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 153, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Hilmy Cellars,venue,catalog,https://hilmywine.com,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 154, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Slate Theory Winery,venue,catalog,https://slatetheory.com,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 155, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Texas Wine Collective,venue,catalog,https://www.texaswinecollective.com,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 156, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Adega Vinho Winery,venue,catalog,https://adegavinho.com/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 157, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
K Estate Winery (Kuhlman Cellars),venue,catalog,https://kuhlmancellars.com,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 158, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Messina Hof Hill Country Winery,venue,catalog,https://messinahof.com/fredericksburg/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 159, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Grape Creek Vineyards,venue,catalog,https://grapecreek.com,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 160, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
William Chris Vineyards,venue,catalog,https://williamchriswines.com/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 161, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Wildseed Farms,venue,catalog,https://wildseedfarms.com/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 162, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Salvation Spirits / The Speakeasy,venue,catalog,https://salvationspeakeasy.com,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 163, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Altstadt Brewery,venue,catalog,https://altstadtbeer.com/happenings/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 164, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Altdorf Biergarten,venue,catalog,https://www.altdorfs.com/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 165, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Silver Creek Beer Garden & Grille,venue,catalog,https://silvercreekfbg.com,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 166, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Lewis Wines,venue,catalog,https://www.lewiswines.com/events,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 167, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Texas Hills Vineyard,venue,catalog,https://texashillsvineyard.com/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 168, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
Siboney Cellars,venue,catalog,https://siboneycellars.com/events/,,B,official,in_catalog,n/a - already committed,n/a,"catalog rank 169, category 'venue_calendar'; see docs/CENSUS_CAPCOG.md for full bucket/grade derivation"
